,Sentence,Label,Solved conflict
0,"In the early hours of Thursday morning, the White House announced a tentative agreement between the major rail carriers and the remaining holdout unions, Teamsters’ Brotherhood of Locomotive Engineers and Trainmen (BLET) and the Transportation Division of the International Association of Sheet Metal, Air, Rail, and Transportation Workers (SMART-TD).
",0,False
1,"Though not all details have been released, it appears that the rail unions made limited but meaningful gains on some key issues, while holding the line on others.
",0,False
2,"Two-person crews are protected in this agreement, a critical safety issue that the carriers have been trying to attack.
",0,False
3,"In fact, the rail carriers are profiting more than ever as they push their workers to the breaking point.
",1,False
4,"Over the last week, the US has been jolted into reckoning with the profound implications of a national freight railroad worker strike.
",0,False
5,"While that may sound like a lot, that figure is less than 3.5 percent of their massive annual profits.
",0,False
6,"Clearly the upper echelons of the state haven’t forgotten this, as President Biden’s intense involvement in brokering a settlement demonstrates.
",0,False
7,"We don’t know where or how far all this energy will go, but it’s clear that the question of labour will dominate politics in the years to come.
",0,False
8,"For many rail workers this is not simply another contract; it could determine whether they decide to stay in the industry altogether or not.
",0,False
9,"Workers would have a 24 percent wage increase by 2024, including an immediate 14 percent raise.
",0,False
10,"These recent events have reinforced a fundamental truth about US economic life.
",0,False
11,"Importantly, this development is happening both among unionised workers and unorganised workers forming unions.
",0,False
12,"The proposed agreement includes the best wage increases for rail workers in over forty years.
",0,False
13,"In a letter from SMART to Congressional leadership last week, the union said, ‘The railroads have taken away our members’ ability to be a worthy parent and dependable spouse, and they have eliminated any realistic means for an employee to receive medical services.’
",0,False
14,"As more details come out, it is now up to the rank and file to discuss the agreement and cast their vote.
",0,False
15,"Shippers are reporting more delays and higher rates in 2022 than the previous two years.
",0,False
16,Railroad workers have reminded us that the issue of work in the US is too explosive to ignore.,1,False
17,"Though some journalists with knowledge of the rail industry or the labour movement have been sounding the alarm for months, the last few days have seen mainstream media outlets publish increasingly frantic articles about the potential for a strike.
",0,False
18,"This panicked response from political elites and media institutions was not completely unfounded; a rail strike would indeed have caused a crisis in our supply chain and the general economy.
",1,False
19,"As recent events revealed, a strike of even just some of a relatively small number (115,000) of rail workers could completely upend the economy and provoke a political crisis.
",0,False
20,"This could cause more companies to ship goods by truck, which in turn could lead to a downward spiral in the rail industry with further cuts to an already beleaguered workforce.
",0,False
21,"The union also managed to win no increases to health care co-pays and deductibles, a key sticking point that was underreported in the media.
",0,False
22,"Rail workers have no sick days and a very limited amount of paid time off, making the job increasingly unsustainable for any kind of family life.
",0,False
23,"The Biden administration is breathing a (perhaps temporary) sigh of relief, as it pulled out all the stops to avert a strike.
",0,False
24,"During the ‘Striketober’ of late 2021, rank and file workers at companies like Kellogg’s and John Deere voted down substandard agreements and won better contracts in the end by doing so.
",0,False
25,"Momentum is already building for the highly anticipated United Parcel Service (UPS) contract fight in the summer of 2023.
",0,False
26,"While it’s misguided to put all focus or hope onto one section of the working class, we can’t ignore this immense latent power that logistics workers possess.
",1,False
27,"International Alliance of Theatrical Stage Employees (IATSE) workers had the attention of the country as they almost went on strike over unsustainable work schedules, similar to the rail labour dispute.
",0,False
28,"The agreement still needs to be ratified by members, a process that will play out over the next few weeks.
",0,False
29,"This is a far cry from the rail unions’ original demand of fifteen paid sick days.
",0,False
30,"Instead of investing these profits in its workers or rail infrastructure, the carriers have spent $196 billion on stock buybacks since 2010.
",0,False
31,"In the US, freight railroad workers have been pushed to breaking point while the rail carriers profit more than ever – and while a strike was averted in the early hours of Thursday morning, it isn't off the table.
",1,False
32,"Workers would be granted only one single paid sick day.
",0,False
33,"White House aides worked to create contingency plans for the supply chain in the event of a strike.
",0,False
34,"Republicans attempted to pass a resolution that would have enabled Congress to force workers to accept a deal, which was fortunately blocked by (who else) Senator Bernie Sanders.
",1,False
35,"Even as fewer things are manufactured in this country, a whole lot of products are transported and warehoused here.
",0,False
36,"The adoption of precision schedule railroading has dramatically reduced the number of workers, while delivering immense gains to Wall Street.
",1,False
37,"Zooming out to a broader view, this labour dispute is one more sign of a growing restlessness and combativity among US workers.
",1,False
