news_source,is_title,text,topic,date,link,medium,labels
BBC News,0,"Prior to the WHO approval, the Sinopharm vaccine was already being widely used, with an estimated 65 million doses administered, according to reports.",corona,2021-05-07T19:46:06+0000,https://www.bbc.com/news/world-asia-china-56967973,article,0.3379393517971039
BBC News,0,"Travellers from all countries will be banned from entering Israel for 14 days, local media have reported.",corona,2021-11-28T08:55:48+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F32F2GND&h=AT1B1d_YiptxnwOuZPXWLVV4LOrP2PHoa_qRhL47ZTbtt7eEiyxSbjdDbiQ3sRvLGyE3PToSHR8JMwLtfsv81k_DFGPkZCTaV6qNu4R4YNjBdOM15BCGBrTClGu07O9LKyuciPCDUrprGnHoEMZ_&s=1,fb_post,0.4198671579360962
Metro,0,Austria is locking down its unvaccinated population in an effort to stop a new surge in Covid cases.,corona,2021-11-14T19:00:06+0000,https://www.facebook.com/MetroUK/photos/a.198482223520407/5022014664500448/?type=3,fb_post,0.2352581620216369
BBC News,0,"Two people in the UK have been found to be infected with the new Covid variant, Omicron, the health secretary has said.",corona,2021-11-27T14:14:29+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3nXcyub&h=AT2aP7s5ZxOXNAEM0VFLNGEugV0gs1DJm7n3hK5SlFg4re3ZEuLc0p83o9VpkgnAaa-yGtc9dEivpUgQQ9b1g3tI5kU4Brq-K0bWemOK-24WK3ejbX6l3pUHmeInWgG_D86kE_0hHrey54_-at42&s=1,fb_post,0.1913268864154815
Daily Mail,0,"‘We very well might see a post-seasonal [surge] in the sense of Christmas/New Year’s,’ he said.",corona,2020-12-28T05:21:23+0000,https://www.dailymail.co.uk/news/article-9091917/Dr-Scott-Gottlieb-says-administering-20-million-COVID-vaccines-end-2020-unrealistic.html?ito=social-facebook,article,0.6958553194999695
Sky News,0,"Queues so long at Heathrow airport that passengers including a pregnant woman fainted are ""unacceptable"", the Home Office has said",corona,2021-09-04T19:30:25+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fcovid-19-hours-long-delays-at-heathrow-airport-unacceptable-says-home-office-after-reports-of-passengers-fainting-12398905%3Fdcmp%3Dsnt-sf-twitter&h=AT0Sby04A5rO3knQOcEz1fBV-gdmt1MJav1cAXhpexxlhhUMIMIw-ePy6yJtaZzMHubKgVV_ClnV_D85VL3ATq6klKHvPnS9efOcZI27vGX5P8Qso49TiWxE1u-ac_Ybinp9sP6eJsuG7HDVO99r&s=1,fb_post,0.5670220255851746
Sky News,0,"Six people, including a British man, have been arrested off the coast of Plymouth after authorities seized 1,500kg of cocaine - worth around £120m",crime,2021-09-11T12:00:37+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fyacht-carrying-163120m-of-cocaine-intercepted-off-plymouth-coast-12404553&h=AT2KMGLcCAqbfUHhwzAXzJGIDfFJ0ER0Q_77CctT3HJsuKbVcn7E2jEIXMVW7tdaq-q30sVuWEUw78kusAnL7UMYc2DQN4ILLmpmp9PtivIABBkfgEz_f9EvXtsW13VOWZd__ibCdigQEgrAkWf0&s=1,fb_post,0.11447574198246
Sky News,0,"They gathered outside the state broadcaster with signs reading: ""We're protesting peacefully, no to El Diablo"", ""Repent and return to Christ"" and ""Christ saves, Diablo kills""",crime,2021-03-06T22:00:09+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fchristians-protest-in-cyprus-over-satanic-eurovision-song-12237734%3Fdcmp%3Dsnt-sf-twitter&h=AT2NPaI8TInftTmn_gH0qKcf_ILFTajCR5o6k4tK7Obt6N-dYm04WeVbjsxKQ6q6sQut7mnByATlougTNieaEbisce5pPUjnzZkYqD76KWZJkTm7dUf7bIsSJ2p96WzfJ-6XWJS4hNKAEPv9Xdcp&s=1,fb_post,0.5
BBC News,0,"This means part of the coronavirus' genetic code is injected into the body, training the immune system how to respond to it.",corona,2021-05-07T19:46:06+0000,https://www.bbc.com/news/world-asia-china-56967973,article,0.2887156009674072
Daily Mail,0,Kyle Rittenhouse says he finds the protests 'silly' and 'funny',crime,2021-12-06T04:30:27+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.dailymail.co.uk%2Fnews%2Farticle-10267607%2FArizona-State-University-students-protest-Killer-Kyle-Rittenhouse-attending-classes.html%3Fito%3Dsocial-facebook&h=AT0GlECNAqjdoufS3ky45oRJpcidn1IhG7SxdGk3bKIyiowB43YzHjQIXhO1DZCl3HDgbapLyt_zeMwwdZdHdF1VK4SBA3R5X33lt9IBmjVyPJSXaWhAPpjXdu_RZQUQclIM9bufMnu5DUCBCDYi&s=1,fb_post,0.8436841368675232
