,news_source,is_title,text,topic,date,link,medium,labels
5918,Daily Mail,0,In another day of coronavirus chaos in Britain:,corona,2020-12-22T16:24:36+0000,https://www.dailymail.co.uk/news/article-9079493/Britains-daily-Covid-cases-DOUBLE-week-36-804-infections.html?ito=social-facebook,article,0
1676,Sky News,0,"The Ministry of Justice will challenge the Parole Board decision to release Colin Pitchfork, who raped and murdered two schoolgirls in the 1980s.",crime,2021-06-25T18:43:00+0000,https://news.sky.com/story/colin-pitchfork-ministry-of-justice-to-challenge-parole-board-decision-allowing-release-of-child-killer-12341874,article,0
5901,BBC News,0,"Wearing a face covering remains compulsory in many public indoor spaces in Wales, Scotland, and Northern Ireland, including on public transport, so you will be expected to use a mask on any cross-border plane, train or bus journey, unless you are exempt.",corona,2021-08-17T13:55:48+0000,https://www.bbc.com/news/explainers-52646738,article,0
4909,BBC News,0,"Ray Howard, a Conservative councillor in Canvey Island for 51 years, and who canvassed for Mr Amess, spoke of his deep upset.",crime,2021-10-15T19:08:06+0000,https://www.bbc.com/news/uk-england-essex-58928927,article,1
1997,BBC News,0,Cinemas and indoor dining would resume on 6 May.,corona,2021-03-23T18:23:50+0000,https://www.bbc.com/news/world-europe-56486732,article,0
6741,Daily Mail,0,"Fifteen European nations have now reported cases, amid warnings it was likely in circulation 'for weeks' before being detected.",corona,2021-12-06T09:41:25+0000,https://www.dailymail.co.uk/news/article-10279341/Italy-begins-lockdown-unvaccinated-double-jabbed-able-participate-public-life.html?ito=social-facebook,article,0
7060,Sky News,0,"""Also, the arrests of the men transporting the drugs means the crime group has lost trusted offenders who would have been key to their operation.",crime,2021-09-11T09:08:00+0000,https://news.sky.com/story/yacht-carrying-163120m-of-cocaine-intercepted-off-plymouth-coast-12404553,article,0
7202,Daily Mail,0,"'You stabbed me,' his son said back to his father.",crime,2021-06-22T23:18:21+0100,https://www.dailymail.co.uk/news/article-9713895/Florida-father-convicted-double-murder-decides-represents-instead-using-attorney.html,article,1
7706,Daily Mail,0,As if you can do that?',crime,2021-12-04T23:05:24+0000,https://www.dailymail.co.uk/news/article-10275829/Stepmother-tortured-killed-Arthur-Labinjo-Hughes-NEVER-mentioned-cellmate-says.html?ito=social-facebook,article,1
98,Daily Mail,0,All humans must have the same rights.',corona,2021-06-25T16:59:01+0100,https://www.dailymail.co.uk/news/article-9725863/Israel-reimposes-indoor-mask-rule-amid-surge-Covid-cases-despite-successful-vaccine-rollout.html?ito=social-facebook,article,1
309,Daily Mail,0,"According to officials from the Minnesota Department of Health, the group gathered at the crowded convention at Manhattan's Jacob K. Javits Center in Midtown - which drew more than 53,000 people - sometime between November 19 and 21.",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0
2242,BBC News,0,"The RDIF says 39 countries have already registered its vaccine and, to Russia's delight, it's even being called upon to help the vaccine-strapped EU.",corona,2021-03-03T00:24:31+0000,https://www.bbc.com/news/world-europe-56250456,article,0
6327,BBC News,0,A protest march outside the court on the eve of the swearing in of the jury gave an indication of the strength of feeling here.,crime,2021-11-05T00:03:50+0000,https://www.bbc.com/news/world-us-canada-59167085,article,1
3673,Daily Mail,0,"And if the party is 24 hours around the clock, eventually you're going to get in trouble.",crime,2020-12-31T16:53:08+0000,https://www.dailymail.co.uk/news/article-9102581/Former-Bears-star-Michael-Richardson-59-arrested-charged-second-degree-murder.html?ito=social-facebook,article,1
442,Daily Mail,0,"The case has parallels to the killing of Sarah Everard, who was  snatched off the street as she walked home from a friend's house in Clapham, south London, on March 3 by Met Police firearms officer Wayne Couzens.",crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,0
5512,Daily Mail,0,"'We are testing all individuals on Norwegian Breakaway prior to disembarkation, as well as providing post-exposure and quarantine public health guidance by the CDC.",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0
4801,Daily Mail,0,SWAT team officers helped the employees run to safety.,crime,2021-09-23T20:47:53+0100,https://www.dailymail.co.uk/news/article-10022601/Multiple-people-injured-mass-shooting-Kroger-store-Memphis.html?ito=social-facebook,article,0
5984,Daily Mail,0,"Shepherd was initially hospitalized in Oregon before being transferred to Saint Alphonsus in Boise, Idaho.",corona,2021-09-23T19:27:23+0100,https://www.dailymail.co.uk/news/article-10022063/Woman-20-dies-COVID-Idaho-hospital.html?ito=social-facebook,article,0
5449,Sky News,0,"A ""wicked"" stepmother and a ""pitiless"" father have been convicted of abusing and killing his six-year-old son.",crime,2021-12-03T13:28:00+0000,https://news.sky.com/story/arthur-labinjo-hughes-father-and-girlfriend-found-guilty-over-death-of-six-year-old-boy-12483772,article,1
3140,Daily Mail,0,"'It will burden taxpayers but, as we don't have capital punishment, they should certainly never leave prison as long as they live for such cruelty and inhumanity.'",crime,2021-12-06T07:56:33+0000,https://www.dailymail.co.uk/news/article-10279255/Arthur-Labinjo-Hughes-stepmother-Emma-Tustin-poisoned-SALT-prison.html?ito=social-facebook,article,1
2905,Daily Mail,0,The exact conditions of the injured pedestrians is not yet known but at least two are believed to be in critical conditions.,crime,2021-03-15T17:21:14+0000,https://www.dailymail.co.uk/news/article-9364619/Multiple-people-injured-car-drove-group-pedestrians-San-Diego.html?ito=social-facebook,article,0
5502,Daily Mail,0,"Entry to the event required that participants be vaccinated, however, it is unclear if any in the group who got infected were under the age of 12.",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0
4490,BBC News,0,"French hospitals admitted another 471 patients into intensive care in 24 hours, and another 15,792 cases were reported on Monday evening.",corona,2021-03-23T18:23:50+0000,https://www.bbc.com/news/world-europe-56486732,article,0
4812,Metro,0,Mr Gove is expected to provide an update in the House of Commons when MPs return from recess this week.,corona,2021-06-06T12:01:00+0000,https://metro.co.uk/2021/06/06/tony-blair-calls-for-vaccine-passports-ahead-of-june-21-reopening-14723316/?ito=facebook%7Csocial%7Cmetroukfacebook,article,0
2838,Daily Mail,0,"We demand justice for Sabina and safety for all women, on the streets and in our homes.'",crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,1
2700,BBC News,0,"""Just end him,"" one message read.",crime,2021-12-02T16:17:30+0000,https://www.bbc.com/news/uk-england-birmingham-59400890,article,1
4578,Daily Mail,0,"Hours after Moniz's murder, her father called police when he came to her Acushnet home to bring her to a doctor's appointment, and found her on the floor in a pool of her own blood.",crime,2021-12-05T07:45:20+0000,https://www.dailymail.co.uk/news/article-10276547/DNA-conch-shell-linked-half-brother-victim-crack-20-year-old-cold-case.html?ito=social-facebook,article,0
3038,Daily Mail,0,"Other mutations it has include G446S, T478K, Q493K, G496S, Q498R and Y505H, although their significance is not yet clear.",corona,2021-11-29T20:24:17+0000,https://www.dailymail.co.uk/health/article-10255315/South-Africa-province-Omicron-variant-detected-sees-330-surge-hospitalizations.html?ito=social-facebook,article,0
1000,Daily Mail,0,"Klaus Hinterding, deputy head of AstraZeneca Germany, said that the shortages were 'due to the complexity of the production process'.",corona,2021-03-20T22:01:11+0000,https://www.dailymail.co.uk/news/article-9384659/Merkel-Macron-set-illegal-EU-plan.html?ito=social-facebook,article,0
2295,BBC News,0,Mexico is one of the most dangerous countries in the world to be a journalist.,crime,2021-08-10T15:16:33+0000,https://www.bbc.com/news/world-latin-america-58153732,article,1
5195,BBC News,0,"""Even our critics have run out of arguments,"" Kirill Dmitriev said last month, the head of the RDIF state investment fund that's backing Sputnik.",corona,2021-03-03T00:24:31+0000,https://www.bbc.com/news/world-europe-56250456,article,1
6246,Metro,0,We will be using the money to pay for funeral expenses.’,corona,2021-09-18T18:20:00+0000,https://metro.co.uk/2021/09/18/alabama-married-anti-vaccine-youtubers-die-of-covid-weeks-apart-15279579/?ito=facebook|social|metroukfacebook,article,0
3818,Sky News,0,"The home secretary decided the inquiry would be non-statutory to allow for it to be established and to operate as swiftly and flexibly as possible, but made clear should Dame Elish need it, the option remains to convert it to a statutory inquiry, which would have subpoena powers and ability to take evidence under oath.",crime,2021-11-22T16:53:00+0000,https://news.sky.com/story/sarah-everard-ex-solicitor-general-to-lead-inquiry-into-policing-failures-over-rape-and-murder-by-serving-officer-12475819,article,0
1300,Daily Mail,0,"The cordoned off area includes the One Space Community Centre, tennis courts and skatepark.",crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,0
6635,Sky News,0,"Derbyshire Constabulary said: ""We appreciate that what has happened in Duckmanton today will have shocked and upset many people in the community and officers will carry out extra patrols in the coming days.",crime,2021-06-19T23:13:00+0000,https://news.sky.com/story/bodies-of-man-and-woman-found-in-fields-near-derbyshire-village-12336545,article,1
6103,BBC News,0,"Face coverings are no longer required by law in England, although the government ""expects and recommends"" that they are worn in crowded and enclosed spaces.",corona,2021-08-17T13:55:48+0000,https://www.bbc.com/news/explainers-52646738,article,0
569,Sky News,0,"There's no word for them, especially your own child,"" she added.",crime,2021-12-03T13:28:00+0000,https://news.sky.com/story/arthur-labinjo-hughes-father-and-girlfriend-found-guilty-over-death-of-six-year-old-boy-12483772,article,1
148,Sky News,0,Ministers had also been under pressure to introduce a hotel quarantine system to follow the example of countries like New Zealand and Australia in keeping COVID rates related to international travel low.,corona,2021-10-28T18:11:00+0000,https://news.sky.com/story/covid-19-all-countries-to-be-removed-from-governments-travel-red-list-12453412,article,0
